Course Name,Reviewer Name,Date of Review,Review Content,Rating Star
Business Analysis & Process Management,By Thomas G,"Dec 15, 2020","""Pause and look at this doc ok welcome back now pause and do it yourself ok you now know how to write a business plan"". The instructor simply read a script verbatim with no punctuation, pauses, or personality. The whole thing was incredibly rushed, and ""rushed"" is not the same thing as ""fast paced"". Absolutely no justification for using the clunky Rhyme virtual desktop, as all you do is open a Google Doc and make a Lucid Chart account. Why would I log into my email and set up another account in your virtual desktop?",1
Business Analysis & Process Management,By Gisela W,"Dec 19, 2020","I like the hands-on platform and the approach of following along with the instructor side by side. However, the instructor speaks way too fast. I lowered the speed to 0.7 and was still struggling to follow. Also, at times the questions/instructions are not 100% clear or confusing so that I wasn't sure what to do and just kept watching. The content is quite superficial. The project does give you some guidance in modeling a simple business process using Lucidchart which I appreciate.",2
Business Analysis & Process Management,By Deleted A,"Feb 11, 2021","Coursera please remove this course!  It's poorly organised , there's background noise on the audio, the instructor asks students to sign into their Google account and then create a Lucidchart account.  All of the learning materials should be within Rhyme.",1
Business Analysis & Process Management,By TUSHAR S,"Feb 1, 2021",This instructor has a very poor style of teaching and doesn't have proper knowledge of the subject. She's reading all the way during the course to explain some technical terms.,1
Business Analysis & Process Management,By Ellvina K,"May 7, 2021","Even at the start I was unable to follow through this project, since the material was not available / no link provided whatsoever to download it. I had high expectation for this guided project but it turned out to be a disappointment. Hope the instructor will give better facilitation so the benefit for this project can be realised.",1
Business Analysis & Process Management,By Oussama S,"Jan 16, 2021",Nothing to do with Business Analysis and Process Management,1
Business Analysis & Process Management,By Ahmed N,"May 11, 2021","bad sound; quality and speed, vague, and of course introduction to the introduction. the subject matter would need a full course after i went through this.",1
Business Analysis & Process Management,By Charlie A,"May 18, 2021",I was immediately confused and couldn't follow. I'll stick to project management and product management  ,1
Business Analysis & Process Management,By Vai A,"May 25, 2021",poor audio. poor instruction and missed connections. ,1
Business Analysis & Process Management,By Joyal G,"Aug 14, 2022",poor presentation,1
Business Analysis & Process Management,By Alwaleed A M A,"Jul 1, 2021",really disappointing course.,1
Business Analysis & Process Management,By Raghavan P,"Nov 19, 2020",A very basic overview has been provided. The course could've spanned a little longer (say 2-3 hours) so that I could get a better insight into the topics!,5
Business Analysis & Process Management,By Thao P,"Jul 6, 2021",instructor speaks to fast and digital tool is too difficult to use,1
Business Analysis & Process Management,By Artem D,"Sep 12, 2021","amateur quality of video/audio: is poor, sometimes unreadable/inaudible, instructor reads text from paper (voice is like a robot) and some elements were not discussed, but seen in solutions.",2
Business Analysis & Process Management,By Nguyen D T,"Jun 27, 2021",It is not convenient for use. I can not find the course's material. ,2
Business Analysis & Process Management,By Joel B,"Dec 22, 2022","Worst course I have ever come across in Coursera. Dropped in the before half way through the course.
Poor teaching, Poor audio quality, lack of understanding etc. The course mentions that its also for beginners but nothing taught to beginners.",1
Business Analysis & Process Management,By Sara D,"Sep 15, 2020","Could have used some more detail about the tasks going into the flowchart exercise. Also, it was difficult to see the instructor's LucidChart diagram due to low resolution.",4
Business Analysis & Process Management,By Emmanuel O,"Jun 16, 2021",An amazing course!,5
Business Analysis & Process Management,By Priya K,"Sep 30, 2021","Very short and concisely with comprehensive practices about how to structure business problems, get to the root cause and mapping the solution and the business processes as well.",5
Business Analysis & Process Management,By Shubham C,"Feb 19, 2021",A good course to start with business process and a bit learning of analysis as well. I would reccommend this to all the beginners.,5
Business Analysis & Process Management,By Nomathamsanqa P N,"Jun 17, 2022",Great project!!,5
